fdc_id,description,data_type,food_category_id,publication_date,calories,protein_g,fat_g,carbs_g
167674,"Restaurant, Chinese, lemon chicken",sr_legacy_food,25,2019-04-01,251.9,11.87,13.55,20.61
167675,"Restaurant, Chinese, general tso's chicken",sr_legacy_food,25,2019-04-01,294.8,12.9,16.36,23.99
167676,"Restaurant, Chinese, kung pao chicken",sr_legacy_food,25,2019-04-01,129.3,9.76,6.98,6.87
167677,"Restaurant, Chinese, vegetable lo mein, without meat",sr_legacy_food,25,2019-04-01,120.9,4.77,2.35,20.16
167678,"Restaurant, Chinese, chicken and vegetables",sr_legacy_food,25,2019-04-01,95.3,8.18,4.56,5.38
167679,"Restaurant, Chinese, orange chicken",sr_legacy_food,25,2019-04-01,261.8,14.46,12.68,22.46
167680,"Restaurant, Italian, spaghetti with meat sauce",sr_legacy_food,25,2019-04-01,121.1,5.79,3.59,16.4
167681,"Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame",sr_legacy_food,14,2019-04-01,351.7,0.45,0.04,87.38
167682,"Pectin, liquid",sr_legacy_food,19,2019-04-01,8.4,0.0,0.0,2.1
167683,"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated",sr_legacy_food,19,2019-04-01,220.9,6.4,10.1,26.11
167684,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",sr_legacy_food,4,2019-04-01,160.0,1.5,14.0,7.0
167685,"Bologna, beef and pork, low fat",sr_legacy_food,7,2019-04-01,230.1,11.5,19.3,2.6
167686,"Milk dessert, frozen, milk-fat free, chocolate",sr_legacy_food,19,2019-04-01,177.0,4.3,1.0,37.7
167687,"Whipped topping, frozen, low fat",sr_legacy_food,1,2019-04-01,224.3,3.0,13.1,23.6
167688,"Cream substitute, powdered, light",sr_legacy_food,1,2019-04-01,442.5,1.9,15.7,73.4
167689,"Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies",sr_legacy_food,19,2019-04-01,532.1,10.16,29.32,56.89
167690,"Babyfood, apple yogurt dessert, strained",sr_legacy_food,3,2019-04-01,95.6,0.8,1.6,19.5
167691,"Vegetable oil-butter spread, reduced calorie",sr_legacy_food,4,2019-04-01,477.0,0.0,53.0,0.0
167692,"Salad dressing, blue or roquefort cheese dressing, light",sr_legacy_food,4,2019-04-01,85.5,2.1,2.7,13.2
167693,"Salad dressing, french dressing, reduced calorie",sr_legacy_food,4,2019-04-01,226.6,0.4,13.0,27.0
167694,"Sausage, turkey and pork, fresh, bulk, patty or link, cooked",sr_legacy_food,7,2019-04-01,300.6,22.7,23.0,0.7
167695,"Mayonnaise, made with tofu",sr_legacy_food,4,2019-04-01,322.2,5.95,31.79,3.06
167696,"Frankfurter, beef, low fat",sr_legacy_food,7,2019-04-01,139.9,12.0,9.5,1.6
