fdc_id,description,data_type,food_category_id,publication_date,calories,protein_g,fat_g,carbs_g,fiber_g
168098,"Cheese, monterey, low fat",sr_legacy_food,1,2019-04-01,313.0,28.2,21.6,0.7,0.0
168099,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie, fat-free",sr_legacy_food,4,2019-04-01,448.0,1.4,2.7,20.0,0.0
168100,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie, cholesterol-free",sr_legacy_food,4,2019-04-01,140.0,1.0,8.0,16.0,0.0
168101,"Bologna, beef, low fat",sr_legacy_food,7,2019-04-01,204.0,11.8,14.8,5.2,0.0
168102,"Candies, MARS SNACKFOOD US, TWIX chocolate fudge cookie bars",sr_legacy_food,19,2019-04-01,553.0,7.3,33.3,56.0,3.0
168103,"Frozen yogurts, chocolate, nonfat milk, sweetened without sugar",sr_legacy_food,19,2019-04-01,107.0,4.4,0.8,19.7,2.0
168104,"Frozen yogurts, chocolate",sr_legacy_food,19,2019-04-01,131.0,3.0,3.6,21.6,2.3
168105,"Frozen yogurts, flavors other than chocolate",sr_legacy_food,19,2019-04-01,127.0,3.0,3.6,21.6,0.0
168106,Papad,sr_legacy_food,16,2019-04-01,1552.0,25.56,3.25,59.87,18.6
168107,"Rice cake, cracker (include hain mini rice cakes)",sr_legacy_food,23,2019-04-01,392.0,7.1,4.3,81.1,4.2
168108,"Candies, MARS SNACKFOOD US, M&M's Almond Chocolate Candies",sr_legacy_food,19,2019-04-01,2184.0,7.53,27.76,60.5,5.6
168109,"Salad Dressing, coleslaw, reduced fat",sr_legacy_food,4,2019-04-01,1376.0,0.0,20.0,40.0,0.4
168110,"Pork, cured, ham, low sodium, lean and fat, cooked",sr_legacy_food,10,2019-04-01,720.0,22.3,8.3,0.3,0.0
168111,"Pork, cured, ham, boneless, low sodium, extra lean (approximately 5% fat), roasted",sr_legacy_food,10,2019-04-01,145.0,20.9,5.5,1.5,0.0
